"STATION","NAME","DATE","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","01","10.7","13.8","7.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","02","12.2","15.7","8.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","03","12.8","16.6","9.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","04","13.4","17.3","9.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","05","14.2","17.9","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","06","15.3","19.1","11.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","07","15.7","19.2","12.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","08","16.4","20.1","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","09","17.1","21.2","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","10","16.4","20.7","12.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","11","13.7","17.3","10.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","12","10.9","13.9","7.8"
