"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-01","1.3",,,,"11.1","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-02","2.5",,,,"10.6","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-03","10.2",,,,"14.4","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-04","22.6",,,,"14.4","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-05","0.3",,,,"10.0","5.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-06","0.0",,,,"10.0","3.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-07","20.8",,,,"15.6","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-08","37.1",,,,"17.2","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-09","4.3",,,,"15.0","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-10","32.3",,,,"15.0","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-11","3.3",,,,"12.8","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-12","7.6",,,,"10.6","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-13","0.0",,,,"13.9","5.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-14","0.0",,,,"15.0","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-15","0.0",,,,"11.7","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-16","0.0",,,,"12.2","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-17","0.0",,,,"11.1","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-18","21.6",,,,"11.7","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-19","5.3",,,,"13.9","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-20","26.7",,,,"12.8","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-21","11.7",,,,"12.8","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-22","25.1",,,,"13.9","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-23","6.6",,,,"11.7","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-24","0.0",,,,"11.7","6.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-25","0.0",,,,"12.8","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-26","0.0",,,,"12.8","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-27","0.0",,,,"15.0","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-28","0.0",,,,"16.1","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-29","0.0",,,,"16.7","7.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-30","0.0",,,,"16.1","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-01-31","0.0",,,,"15.0","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-01","0.0",,,,"13.3","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-02","3.0",,,,"16.7","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-03","10.4",,,,"15.6","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-04","7.1",,,,"15.0","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-05","4.1",,,,"16.1","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-06","12.7",,,,"14.4","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-07","21.1",,,,"16.1","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-08","8.6",,,,"17.2","13.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-09","17.5",,,,"16.7","13.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-10","2.0",,,,"15.6","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-11","0.0",,,,"15.6","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-12","0.0",,,,"17.8","8.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-13","0.0",,,,"17.2","9.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-14","0.0",,,,"19.4","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-15","0.0",,,,"18.3","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-16","9.1",,,,"17.2","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-17","26.7",,,,"14.4","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-18","3.0",,,,"12.8","10.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-19","3.3",,,,"13.3","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-20","46.5",,,,"15.0","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-21","11.4",,,,"15.6","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-22","0.0",,,,"12.2","7.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2017-02-23","0.0",,,,"11.1","6.1"
