country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,2.17,1.93,,,2.36,3.31,,5.86,7.11,7.31,,9.04,9.45,,,,,,,,10.2,,,,,,,,,,,,9.25,,,,,,,,,,,37.4,39.2,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,,,,81.6,85.8,,86.3,,,,91.7,92.2,92,96.9,95.9,94.1,90.7,88.6,95.8,,88.3,
Algeria,,3.8,5.03,5.92,8.46,10.9,12.1,14,16.9,20.5,23.8,,29,,34,37.1,,,,51.2,50.5,49.4,51.7,51.9,53.6,55.2,55.1,53.2,,57.9,56.5,58.7,64.4,66.8,69.1,77.8,73.7,69.4,64.5,71.5,66.3,80,133,93.6,87.1,84.7,87.6,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,13.8,,16.7,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,82.6,66.8,93.1,,95.8,,80.8,85.8,,87.2,
Argentina,21.3,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,88.5,88.8,88.3,84.2,83.3,85,81.5,79.9,81.5,82.5,85.8,89.2,89.8,91.3,91,91.5,92.3,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2,86,87.9,96.3,100,94.2,88.5,103,95,,,,,,89.9,90.9,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,104,,,102,101,101,100,102,102,99.4,98,96.8,95.9,97.9,98.2,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,90.3,,90.5,85,,85.9,36.9,72.9,85.4,83,82.4,78.2,87.5,87.8,86.4,89.4,89.2,86.3,92.8,84.2,86.1,84.2,88.1,87.6,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6,,,,,88.3,92.2,93.3,108,104,,97.1,,,,,,,,
Bahrain,,48.3,40.5,54.2,52.4,56.4,47.9,55.4,55.1,60.1,48.6,52.9,65.4,77.1,78.9,,80.6,,82.8,,,97.2,104,111,,,,,,98.2,95.4,98.6,99.9,101,103,99.5,99.3,,99,96.8,,93.7,89.6,93.2,96.8,97.3,97.2,97.6,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,53.7,56.5,64.7,67,66.6,57.6,55.6,55.5,56.3,,61.1,58.8,64.6,,73.4,,,84.1,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,102,96.9,91.3,97.2,106,106,109,99.1,98.6,96.1,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,93.1,93.4,82,94.4,90.2,,98.4,96,98.5,98.2,99.6,103,107,113,138,103,,,95.8,96.7,99.3,105,105,106,103,
Belgium,,,,,41.5,43.4,45,48,,,,,,,,,,,,,,,,107,108,,,,,,,,,,,,91.8,88.3,84.9,86,90.9,93.6,93.8,95.7,95.4,96.5,95.2,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,55.3,52.6,,,,53.6,55.2,57.4,,64.7,64.5,65.8,66.8,62.7,59.7,63.8,64.3,66.8,68.6,68.5,68.7,73,75.8,71.7,
Benin,,2.03,2.39,3.56,3.08,4.61,4.48,4.9,4.43,5.03,4.94,6.06,,8.91,8.08,,,,,,2.57,,,,,,,,,,9.51,10.5,8.58,,,,17.7,,,,,28.5,,36.8,34.9,38.3,40.3,,
Bhutan,,,,,,,,,0.984,1.09,,,,,,,,,,,,,,3.09,3.3,,,,14.3,16,19.8,27.2,,,,,40.6,,48.6,54,64.2,67.5,68.6,72.5,81.3,,83.1,84.7,
Bolivia,,,,,,,,,,,,,,,,,,,,,43.7,47.5,46.6,56.6,58.2,60.1,62.3,66,63,72.6,76,81.3,87,88.3,92.5,94,92.1,89.5,92.3,89.2,87.8,85.6,87.6,90.4,93.9,90.6,87.6,83.9,
Botswana,,,,,,,,,,,,,,,,43.1,39.1,37.6,15.3,58.3,55.9,78.7,78.6,91.2,87.1,87.5,,,89.2,88.6,92,89.5,88.3,88.5,90.7,90.5,92.6,89.8,93.1,,,,91.8,89.1,95.7,,,,
Brunei,,,,39.8,,30.8,46.5,47.2,43,44.1,39.3,45.1,48.5,61,68.1,,,,,,,,,,,,,,,,,,,,103,102,101,101,104,108,104,102,104,110,104,104,101,103,
Bulgaria,,,,,,,,,,,,,,,,,86.6,83.7,89.3,100,88.7,82.7,81.3,73.7,72.7,67.8,94.5,96.5,,56,,55.1,52.6,56,55.3,58.8,57.1,54.4,50.8,47.1,44.6,40.5,37.3,40.5,45.8,43.7,42.6,,
Burkina Faso,,0.58,0.61,0.648,0.734,0.701,0.83,0.955,,0.949,1.62,,,,,,,,,,,,,,4.07,,,,,,5.01,5.87,,6.73,,8.15,9.16,9.71,12.5,13.6,14.6,16,17.9,19.9,23,25.7,29.9,37.1,
Burundi,,0.242,0.227,,,,,0.632,0.606,0.594,0.61,0.863,1.1,0.721,0.612,0.663,0.778,1.55,1.75,1.86,2.16,,3.86,4.04,,,,,,,,,,,6.79,7.21,6.33,,9.7,11.8,13.7,15.6,17.1,21,24,31.9,37.9,43.4,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,15.6,,10.7,17.2,21.8,25.2,29,31.9,36,42.1,,48,45.4,44.1,43.6,45.6,49,48.7,56.8,
Cameroon,,2.58,3.03,3.55,4.63,5.22,5.46,6.24,6.61,6.87,6.97,7.47,8.01,8.83,9.91,10.3,11,12,13.6,,15.6,18.1,,,,,,,,,,,,21.8,,,16.8,18.2,24,23.6,,41.1,,42.1,36.7,47.2,48,,
Cape Verde,,,,,,,,,,,3.56,3.73,4.65,5.54,4.58,6.57,7.69,,12.9,,14.6,,,,24.3,,,,,,,,,56.4,57.9,60.1,81.8,80.8,81.3,82.8,82.2,87.9,84.9,81,77.9,75.4,77.9,80.1,
Central African Republic,,0.654,0.872,0.656,1.07,,,,1.76,,,3.22,5.34,4.54,,,6.01,4.53,3.79,4.08,3.87,3.92,,,,,,,,,,,,,,7.11,,,,6.51,,,8.39,,,,7.73,,
Chad,,,,,,,,,,,,,,,,,,,1.54,1.46,1.63,1.55,,,2.1,2.11,2.51,,,,3.76,,4.81,4.66,4.9,,5.74,,,9.41,8.92,9.46,9.09,10.4,,8.68,8.55,,
Chile,57.7,64,69.8,72.9,73.6,71.3,71.3,72.7,,,,,,78.3,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,95.4,95.3,91.7,95,93.7,93.3,91.6,
China,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,62.8,71,,,,,,,,,,94.7,98,100,101,105,,104,,,,,
