country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,16.9,14.8,,,11.5,15.2,,21,25,14.2,,16.7,17.1,,,,,,,,26.7,,,,,,,,,,,,23.6,,,,,,,,,,,63.2,68.2,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3,,,,82.4,90.5,,87.5,,,,92.5,91.1,89,93.1,92.6,92.7,92.6,92.9,97.1,,93.8,
Algeria,,9.27,12.6,15.2,18.1,23,22.8,26.4,31.4,37,37.9,,40.9,,49.3,51,,,,71.5,64.9,60.2,61.9,60.8,59.7,59,58.7,51.4,,52.1,46.7,50.3,56.4,55.6,55.3,67.1,58.7,51.6,46.5,53.4,50.6,61.3,97.2,77.1,71.7,67.9,70.9,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,22,,25.2,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,72.4,79.8,75.3,,88.7,,75,79.8,,95.5,
Argentina,12.2,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9,83.1,83.6,83.4,79.1,77.1,78,74.9,73.2,75.2,76.7,81.1,84.9,85.6,87.7,87.7,88.4,84.6,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,84.9,90.7,97.3,100,96.4,92.4,109,98.8,,,,,,85.5,87.7,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,104,,,103,101,101,99.9,102,101,99.1,96.4,96.5,96.1,96.5,99.8,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,90.6,,85.5,87.9,,86.3,39.7,75,91.8,88,84.9,87.7,90.1,91.3,89.6,92,91.8,92.1,95.4,89,87.1,87.8,89.9,89.2,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,,,,,95.5,93.2,91.6,94.1,102,,96.2,,,,,,,,
