country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,8.57,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9,95.2,94.2,,91.8,91.6,,,,87,85.2,86,87,90,93.5,95.5,94.4,94.4,95.8,
Algeria,,,,55.5,58.8,61.3,63.5,65.7,67.4,68.1,69.4,70,70,69.8,71.1,72,73.7,75.4,76.8,78.3,79.1,81.2,82.7,82.8,83.3,83.9,84,83.9,,86.3,87.4,89.5,90.7,91.1,91.7,91.9,92,94.3,95.4,,,,,,,,96.6,,
Angola,,,,,,,,,,,,,41.4,37.8,,,,,,,,,,,,,,,41.3,,,,,,,,,,69.4,68.3,67.7,66.4,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,83.6,82.1,77.8,77.2,76.1,,75.3,77.5,,79.3,
Argentina,96,,,,97,96.7,,,,,,,,,,,,,,,,96.3,,,,,,,,99.3,,,,98.8,98,98.3,98.5,98.8,98.8,98.7,98,98.2,98.3,98.5,99.1,99.2,98.4,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,83,,82.2,84.9,89.2,,,,95.8,96.9,95.2,94,93.1,92.3,92,
Australia,,96.3,,95.3,94.7,97.2,98,,,,,99.7,98.7,97.5,95.8,96.1,96.8,97.5,98.2,98.3,97.8,97.2,97,96.6,96.3,94.8,95.4,95.2,95.3,95.3,95.6,95.5,95.4,96.1,96.4,96.7,96.8,97.4,97.4,97.4,97.5,98.1,97.9,97.7,97.4,97.4,97,97,
Austria,,,,,,,,,,,,,,,,,,,,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,94.8,95.4,93.8,81.4,90.4,97.4,89.2,87.9,92.2,88,84.7,83.8,80.8,82.6,81.4,80.3,83.1,83.6,84.4,83.8,85.4,87.9,91.7,93.8,92.9,94,94.7,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,88.8,89.8,,,,,,89.9,,,,,94.3,99,97.7,,99.3,98.6,,,,,,,91.6,,
Bahrain,,67.2,70.7,72.4,72.5,75.9,73.8,73.6,72.8,75,78.1,78.5,76.9,80.7,85.5,91.4,95.9,96,97.9,98.8,,,98,98.8,99,99.9,,,,97.2,97.8,95.7,95.1,94.7,93.7,91.2,93.5,,,,,91.2,91.9,92.8,94.8,96.8,97,97.3,
Bangladesh,33.9,,,49.3,,,,53,52.6,,,55.2,,48.7,51.9,50.1,49.3,48.4,62.1,62.4,66.5,,,,,,,,,,,,,,,94.4,95.5,,90.6,94.2,95.1,,,,,,,93,
Barbados,,85.5,86.9,88.5,,,98.2,,,,,95.3,93.2,93.4,,,,,,99.8,96.7,,89.2,,,,,,,96.9,95.5,94.5,91.8,91.3,89.8,90.2,91.9,95.6,97.1,94.6,95.8,94,,,92,91.8,92,89.2,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,85.7,,,,,,,,,,,,,,91.2,91,90.6,94,93.8,93.3,95.2,96.3,95.5,
Belgium,,,,,,,,96.4,,97.9,98.4,97.5,97.4,94.7,94.1,93.8,95.1,96.7,98,,,97.9,96.3,98,97.3,97.2,97.7,,,98.9,99,99,98.8,97.7,96.3,95.9,96.2,97.2,97.8,97.6,97.5,97.6,97.8,97.8,97.6,98,98.2,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.1,94,91.6,,92.4,93.5,92.6,93.7,93.7,93.3,94.5,95.1,94,96.4,95,95.2,95.1,95,95.2,
Benin,,,,,,,,,,,,,,,33.3,34,33,,32.8,33.2,27.1,,33,36.3,38.7,41.3,43.9,47.6,,,,,,,,,76.7,,83.6,,,89.6,,,,,,,
Bhutan,,,,,,,,,13.1,15.4,,,,,,,,,,,,,,,,,,,49.3,50.6,53.9,57.2,,,,69.8,73.8,,79.8,84.4,86.5,87.4,88.8,85.9,,83.7,81.6,80.1,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,93.6,94.4,94.6,94.9,95.6,95.5,95.5,95.6,95.4,94,93.9,91.7,89.2,87.7,87,86.8,87.7,89.2,91.3,
Botswana,47.1,44.3,46.2,50,54.5,61.7,66.7,71.3,72.3,74.1,78.4,82.7,,85.9,85.8,87.2,87.5,88.1,88.7,88.7,88.5,90.5,89.4,88.7,88.7,80.6,81.6,,83.6,84.6,85.8,87.3,87.1,87.3,86.5,87,87.6,86.8,86.6,87,,,92.8,93.6,89.3,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1,95.8,,92.6,96.7,96.3,,94.6,98.7,93.9,94.7,94.7,96.1,,
Brunei,,,,,,,,88.6,89,79.5,79.3,76.6,75,76.4,77.3,,80.2,,,,,89.1,91.8,95.5,95.2,98.2,,,,,,,,,,,,,,92.8,,,92,93.7,91.8,91.3,93.5,93.3,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,94.2,93.7,94.6,94.4,94.6,93.5,94.1,95.3,94,94.7,97.5,98,98,98,98,96.2,94.8,94.5,92.9,90.9,,
Burkina Faso,,7.43,7.89,,,,,9.34,9.67,10.1,10.8,11.5,12.5,13.7,14.5,16,17.7,18.8,19.3,19.7,,21.4,21.8,22.7,23.7,24.9,,,28.3,29,30,31.1,31.1,33,35.8,40.5,43.7,49.1,55.5,58.9,57.4,62.8,64,65.3,66.5,68.1,74.1,75.4,
Burundi,,,,14,,,,,13.9,,15.4,17,19.1,24.5,29,33.3,36.3,41.7,45.3,,,,,46.1,,,,,,,38.1,46,44.9,48.8,51.9,55.3,73.5,81,91.8,91.2,96.8,,,,,,,97.5,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,78.3,81.3,87.1,,,95.4,,,94,94,92.7,,92.7,95.2,95.1,,94,96.6,92.8,90.3,
Cameroon,,56.4,56.5,54.9,54,59.9,61.7,60.8,62,63.2,63.6,,,,,,,,69.6,,68.9,67.2,,,,,,,,,,,,,,,,,,,,85.2,85.9,,86.8,,91,90.9,
Canada,,,,,,,,,,,,,95.4,95,94.3,94.3,94.7,94.7,94.7,94.4,95.5,97.5,97.3,95.3,94.3,93.5,94.4,,98.4,99.8,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,88.1,86.2,82.7,90.4,93,94.5,96.2,,,,,,,,,,,,,,98.5,97.6,96.6,94.9,93.8,92.8,90.8,88.9,87.3,86.6,85.4,86,86.1,86.2,86.4,85.3,85.4,
Central African Republic,,34,36,38.5,,,,37.4,37.1,,,41.2,41.9,41.2,,,48.4,39.5,38,38.4,45.4,42.5,,,,,,,,,,,,,,40.1,40.3,46.9,55.2,55.3,57.7,56.5,59.9,,,,,,
Chad,,,,,,13.5,,13.8,,,,,,,,,,,20.7,,,,,,,,,30.8,35.5,38.3,40.7,42.5,45.4,47.3,,,,,,,,54.2,,68.5,,70.5,65.4,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,94.5,92.5,93.3,92,91.5,90.7,90.9,91.7,93,94.9,
China,,,,,,,,,,,,,,,,,,90.1,,,,93.2,92.1,90.9,89.6,88.6,88.1,88.2,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,66.7,,,,,72.8,,,,,,,,94.2,94.5,93.7,93.9,,95.6,94.1,92.7,92,92.4,92.8,93,93.6,91.1,90.3,89.7,90.6,91.2,91.4,
Comoros,,,,,,,,,,,,,,,,,,67.6,,,,,,,62.3,,,,,55.9,62.1,,,,,,,76.3,,,,,,82.2,79.2,,,78.9,
"Congo, Dem. Rep.",,54.3,53.5,,,57.8,,,,60.1,,,,64.2,65.4,,,,56.5,,,54.1,53.1,52.5,52.6,55.9,,,,35.9,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,76.2,,82.6,,87.4,,92.3,92.8,86.2,85.2,86,86.9,87.6,,,,,,,,,,,,,,,,,,,,,55.9,51.8,,,,82.8,,89.4,,,,,,
Costa Rica,87.1,,89.3,89.9,,90.3,91.9,,90,88.8,89.1,89.8,88.4,,,86,87.3,87.5,,87.8,88,88.7,,,,,,,,,,,,,,,,,,,,98.5,98.5,97.5,96.1,96.2,96.6,,
Cote d'Ivoire,,,,,,,,37.8,,,,,,,,,,,,,,,,,,,45.9,46.9,,48.2,47.1,51,50.3,49.9,,,,,,51,,,,65.4,68.8,73,79.6,82.1,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,85.6,87.2,89.3,91.2,,,90.2,89.8,89.5,88.1,85.8,85.6,87.4,88.8,88.6,88.3,88.5,87.5,,
Cuba,,,93.8,95,95.8,,,,,98.1,97,95.2,94.2,94.1,93.1,91.1,91.3,92.7,92.2,92.4,92.5,92.2,94.6,95.3,97.6,97.5,99,98.6,96.5,96.7,95.9,95.3,95.2,93.5,93.6,93.8,94.4,95.7,96.7,99.1,99.3,99.8,99.4,99.3,96.6,95.3,95.6,96.8,
Cyprus,,79.6,78.2,78,77.1,71,68.8,68.1,69,70,69.2,71.5,68.4,68.1,68.1,69,73.5,77.5,78.8,79,78.8,79.2,77.2,97.7,96.8,96.1,95.9,96.4,,95.4,95.5,95.3,96.1,96.3,96,99.4,99.2,98.9,98.4,98.4,99.1,98.7,98.1,97.7,97.6,97.7,,,
Denmark,,,,,,,,,,,,95.6,96.4,98.2,98.9,99,98.6,99,99.2,97.9,97.8,98.3,97.3,96.8,98.6,98.4,98.1,,,98.3,97.8,,,,98.2,96.2,96.6,97.2,97,97,96.9,98,98.4,98.6,98.3,98.5,98.9,,
Djibouti,,,,,,,,,,,,,,,,21.5,22.5,22.4,22.5,22.8,23.6,,24.4,23.1,23.9,24.9,24.4,23.5,,22.6,23.3,25.6,27.2,,30.8,32.6,35.5,38.4,44.1,43.4,,50.8,,50.9,52.3,52.3,49.4,51.9,53.5
Dominica,,,,,,,93.4,94.6,,90.2,87.1,89,88.3,,,,,,,,,,,,,,,,,,,,,,93.4,91.9,89.4,89.1,89.4,93.5,,,,,,,95.9,,
