country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,45,,,,,,,,,,,,,,,,,,,40.9,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,96.5,94.5,,92.4,91.1,,,,87.3,86.1,86.5,87.3,90.9,94.5,96,95.9,95.6,97.1,
Algeria,,,,79,83.4,85.8,87.5,88.5,88.9,88.5,89.4,89.4,88.7,87.6,88.4,88.2,88.8,89.7,90.5,91.2,91.4,92.8,93.5,92.4,91.8,91.7,90.8,89.8,,90.3,90.8,92.7,93.6,93.8,94.2,94.4,94.4,96.2,97.1,,,,,,,,98.4,,
Angola,,,,,,,,,,,,,45.2,42.6,,,,,,,,,,,,,,,48.9,,,,,,,,,,80.6,80.1,83,88.8,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,84.6,83.7,82.8,81,78.5,,76.8,79.6,,79.9,
Argentina,94,,,,96.3,96,,,,,,,,,,,,,,,,96.2,,,,,,,,99.3,,,,99.2,99.2,99.3,99.1,99.3,99.3,99.3,99.3,99.5,99.6,99.5,99.5,99.6,99.5,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,82.3,,80,82.1,86.7,,,,94.6,96,94.7,93.3,92,91.8,92.1,
Australia,,96.1,,94.4,93.7,96.7,97.9,,,,,99.9,98.7,97.9,96,95.9,96.4,96.8,97.4,97.5,97.2,96.6,96.4,96,95.7,94.3,94.6,94.1,93.6,93,92.7,92.4,92.5,93.2,93.7,94.3,94.6,95.5,95.7,96.1,96.5,97.3,97.2,97.1,96.7,96.6,96.3,96.3,
Austria,,,,,,,,,,,,,,,,,,,,93.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,97.5,96.8,89,85,79.1,89.8,91,89.6,92.1,88.5,86,85.8,85.7,85.7,86.2,85.9,83.7,84.2,85.9,85,87.7,90.1,95.1,95.4,95.3,95.7,92.9,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,88.2,88,,,,,,91.6,,,,,93.2,97.2,95.5,,97.3,93.2,,,,,,,85,,
Bahrain,,85.5,87.8,88.2,91.4,94.9,90.5,90.6,87.2,86.2,86.5,85.4,84.1,85.7,87.7,90.8,96.4,95,98.6,99.3,,,96.1,97.3,96.9,98.3,,,,96.6,93.8,90.6,91.3,90.2,89.6,87.2,87.8,,,,,89.3,90.5,91.7,93.7,96,95.6,97.6,
Bangladesh,67.2,,,90.9,,,,89.2,88,,,79.3,,79.4,73.6,71.8,70.6,69.5,76.5,76.1,77.9,,,,,,,,,,,,,,,89.2,89.4,,88.5,86.5,86.1,,,,,,,88.1,
Barbados,,87.3,89.2,89,,,99.5,,,,,93.9,95.8,99.3,,,,,,99.6,98.5,,90.2,,,,,,,97.4,95.5,94.7,92,91.9,91.1,90.3,92.3,94,96.6,93,94.3,93.1,,,90.1,90.1,89.7,89.1,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,89.4,,,,,,,,,,,,,,91.8,91.1,90.8,94,92.1,93,93.5,96,95.9,
Belgium,,,,,,,,96.2,,97.3,97.9,96.6,96.9,93.3,92.5,92,93.5,94.7,95.8,,,95.2,93.9,97.4,96.8,96.9,97.4,,,98.8,98.8,98.9,98.6,97.7,95.9,95.6,96,96.8,97.4,97.3,97.1,97.2,97.6,97.6,97.7,98.1,98.3,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,95.6,92.4,,91.9,93.1,93.4,93.6,93.1,94.4,95.3,95.7,96.3,97,96.6,97.3,97.2,97.1,97,
Benin,,,,,,,,,,,,,,,66.8,67.7,64.8,,64,64.5,51.8,,65.2,69.9,70.1,72.3,74.1,77.1,,,,,,,,,92.4,,96.5,,,99.9,,,,,,,
Bhutan,,,,,,,,,30.3,33.6,,,,,,,,,,,,,,,,,,,56.6,57.1,59.5,62.5,,,,69.5,72.9,,77.5,81.8,83.4,84.5,86.2,83.8,,81.9,80.4,79.6,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9,94.8,95.3,95.2,95.5,95.7,95.3,95.5,95.6,95.4,94.3,94.7,92.4,90,88.5,88.4,88.4,89.3,90.4,92.4,
Botswana,39.6,36.8,38.1,41.1,45.1,50.7,54.7,58.6,59.7,61.4,65.7,70,,74.6,75.4,77.9,79.8,80.9,81.3,82.3,81.5,83.6,83.5,83.7,84.3,76.9,78.1,,80.5,81.3,82.4,84,84.3,84.3,86.6,84.4,85.9,85.2,84.9,86,,,91.8,92.8,88.8,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.7,93.9,,90.6,98.3,94.8,,95.4,97.5,93.6,94.9,94.8,94.8,,
Brunei,,,,,,,,90.7,90.5,80.5,80.5,75.7,74.1,75.4,76.5,,80,,,,,90.6,91.5,93.2,93.7,97.9,,,,,,,,,,,,,,93.7,,,93.1,93.7,92.9,93.2,93.8,94.2,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,95.8,96.5,96.6,96.2,96.4,94.4,94.5,95.6,94.3,95.5,98.1,98.1,97.5,98,97.9,96.4,95.1,94.4,93.4,91.5,,
Burkina Faso,,12.6,13,,,,,15.7,16.3,16.9,17.7,19.1,21,22.4,24.2,26.8,29.1,31.3,31.8,31.9,,32.8,33.4,34.5,36,37.9,,,41.5,41.8,42.5,43.2,42.2,44.1,46.3,50.9,53.6,58.8,64.3,66.5,62.3,66.9,67.3,67.8,69.1,70.6,76.3,77.4,
Burundi,,,,23.6,,,,,21,,23,25.4,30.2,37.7,43,47.3,49.2,53.8,55,,,,,54.3,,,,,,,46.3,56.3,56,59.2,59.2,62.2,77.7,84.6,94.8,91.9,96.9,,,,,,,95.8,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8,91,91.9,97.6,,,99.4,,,95.7,97.7,96.4,,94.6,99.8,99.7,,96.1,94,92.8,90.8,
Cameroon,,72.5,70.3,68.4,65,72.4,73.7,72,73.5,74.2,74.3,,,,,,,,80.1,,79,76.9,,,,,,,,,,,,,,,,,,,,96.9,96.9,,96.6,,99.5,99.4,
Canada,,,,,,,,,,,,,95.7,95.6,95.1,94.8,95.1,95.2,95.1,95.9,94.9,97.9,97.7,96.4,96.2,94.8,95.8,,98.5,99.6,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,89.7,88.7,86.1,91.3,94.4,95.4,96,,,,,,,,,,,,,,98.2,97.2,96.8,94.4,93.9,93.1,91.8,90.2,89.2,87.9,87.2,87.8,87.2,87.6,87.4,87,87,
Central African Republic,,65.9,68.9,70.7,,,,64,64,,,69.5,72,76.1,,,73.9,61.9,58.8,58.5,69.2,63.5,,,,,,,,,,,,,,55.3,56,65.7,74.8,75.2,77.1,74.4,76.3,,,,,,
Chad,,,,,,34.9,,35.6,,,,,,,,,,,45.9,,,,,,,,,54.5,60,61.1,62,62.6,66.5,67.6,,,,,,,,70,,89.1,,89.6,82.9,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.7,95.3,92.7,93.2,92.1,91.5,90.5,90.7,91.5,92.8,94.7,
China,,,,,,,,,,,,,,,,,,97.9,,,,99,97.3,95.7,93.9,91.9,90.7,90,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,64.5,,,,,63.3,,,,,,,,93.3,94.8,94.6,95,,95,94.3,92.8,91.9,93,93.7,94.1,94.5,91.8,90.7,89.9,90.6,91.2,91.2,
Comoros,,,,,,,,,,,,,,,,,,83.5,,,,,,,76,,,,,65.5,72.7,,,,,,,82,,,,,,86.9,82.4,,,80.7,
"Congo, Dem. Rep.",,84.4,81.7,,,82.7,,,,86.2,,,,87.1,87.1,,,,72.6,,,68.7,66.3,64.9,67,79.7,,,,37.7,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,88.2,,94.4,,95.7,,97.9,97.9,88.3,87.2,87.5,87.5,89.2,,,,,,,,,,,,,,,,,,,,,46.8,57.4,,,,86.1,,82.3,,,,,,
Costa Rica,88.2,,90.1,91.2,,90.2,91.6,,90.5,89.2,89.3,90.1,88.3,,,86.2,86.9,87.2,,87.7,87.5,87.9,,,,,,,,,,,,,,,,,,,,98.3,98.4,97.3,96.2,96.4,96.6,,
Cote d'Ivoire,,,,,,,,59.7,,,,,,,,,,,,,,,,,,,61.3,62.5,,63.6,63,67,67.9,61.6,,,,,,61.1,,,,70.5,78.1,82.4,88.1,89.8,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2,86.4,88.2,90.6,92.4,,,90.6,90.2,89.9,88,86,86,87.9,89.3,88.7,89,89.1,87.5,,
Cuba,,,92.2,94,95,,,,,98.6,98.2,95.6,94.5,94.8,92.8,91.4,91.8,93.4,93.4,93.4,92.5,92,94,94.9,97.2,97,99.5,99.3,97.5,97.8,97.1,96.4,95.9,94.1,94.5,94.1,93.9,96.4,97,99.2,99.4,99.8,99.4,99.5,96.4,95.5,95.7,97,
Cyprus,,79.9,78.5,78.5,78.2,71.4,69.2,68,68.7,69.2,68.3,70.9,67.5,68.1,68.6,69.4,74.1,78.2,79.9,79.9,78.9,79.2,77.5,97.6,97,96.3,96.4,96.2,,95.4,95.1,94.7,95.8,96,96.3,99.3,99.2,99.1,99,99,98.8,98.8,97.7,96.9,96.3,97.1,,,
Denmark,,,,,,,,,,,,95.4,96.2,97.9,99,98.5,98.7,98.7,98.8,97.7,97.5,98.2,97.5,97.1,98.8,98.1,98.2,,,97.6,97.1,,,,97.3,95.1,95.3,95.9,94.9,95,95,97,97.6,98.1,97.8,98.3,98.5,,
Djibouti,,,,,,,,,,,,,,,,28.7,30.8,31.3,30.9,30.6,30.7,,32.5,29.3,30.2,31.3,31.7,30.5,,30.8,30.4,33.3,34.8,,38.5,39.7,43.1,44.5,49,47.9,,56.5,,57.3,60.2,58.8,55.4,58.1,60.9
Dominica,,,,,,,92.4,90.6,,83.5,84.9,80,87.2,,,,,,,,,,,,,,,,,,,,,,91,89.5,87.6,89.4,89.9,92.4,,,,,,,95.4,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2,84.4,,93,92.4,82.3,83.8,80.8,87.5,83.9,94.5,95.1,93.7,92.7,92.1,90.4,94.4,93.7,93,
Ecuador,,80.2,,81.1,81.8,80.8,81.3,84.6,86.6,90.1,88.6,,,,,,,,,,,,,,92,92.3,93.3,95.7,94.5,94.2,95.1,96.4,,,,,,,96,94.5,,,94,91.7,90.7,91.3,90.6,,
Egypt,,76,76.7,76.6,,,,,77,,,,,,,,,,,,,,,,91,,,90.4,,86.4,86.2,87.2,88.4,90.2,92,,,,,,,,96.7,,95.5,,97,96.5,
El Salvador,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4,,89.8,89.9,91.4,93.4,,94.1,94.6,93.9,94.1,94.1,94.6,94.5,93.8,91,88.4,85.9,84.4,80.2,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,64.2,,,,,,71.2,75.9,74.3,68.1,,,,,47.1,45.7,44.7,44.7,46,,,42.9,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,22.1,,25.3,26.6,28.3,28.9,,35.4,41.3,44,50.3,55.7,58.7,60,58.5,52.5,48.7,44.9,42.2,45.2,47.6,46.5,46.4,44.5,,39.1,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,88,91.3,,,94.9,95.2,95.4,,94.4,93.7,94,93.5,94.8,94.7,94.6,97.6,97.6,97.6,96.5,93.7,92.7,92.9,,
Ethiopia,,,,,,,,,,,,,,,,,,34.4,35.2,33.2,,,,,22.6,26.4,31.8,,40.3,41.7,45.8,49.1,50.8,51.2,53.1,63.5,67.6,72.5,78.1,77.2,75.3,79.6,80.9,,88.5,88.6,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,96.6,,96.9,95.2,93.4,93.8,94.5,94,92.8,95.4,,98.7,96.7,,98.8,,,97,,,,94,,97.3,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,98.8,98.6,98.3,98.1,98.6,99.5,,,99.6,99.3,98.6,97.7,97.2,96.5,97.1,97.7,97.9,98.2,98.5,99.1,99,99.2,99.1,99,,
France,,96.3,96.4,,,,,,,,,,98.6,96,,95.3,98.3,,,,,,99.6,98.1,98,98.9,99.8,99.5,,99,95.5,95.3,95.3,95,94.9,98.3,98.4,98.2,97.8,97.5,97.2,98,97.7,97.9,98,98.2,98.3,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,,,,,,,,,,,,,,,,,,,,,
Gambia,,32.3,30.8,31.8,31.8,33,35,41.5,45.5,50.6,56,66.2,70.6,73.9,74,76.7,75,,,,,,53.7,57,,,66,,68.5,78.8,74.9,74.6,72.4,73.6,72.8,69.2,73.3,71,66.6,,65.1,66.2,67.3,65,67.1,69.9,71.4,73.8,74.7
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,82.8,81.6,83.9,,,,,,,87.2,85.3,86,94.3,95.9,94.9,,95.7,98.2,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,98.5,,,,,,,,,,,,,,,
