country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,2.37,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,14.8,,,,,,33.9,34.3,34.6,31.2,36.1,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7,67.3,,,,,,,,,,,,84.1,84.4,85,84.8,86.9,
Algeria,,5.42,,,,,,,,,,,,,32.3,,,,,,,,,,,48.9,49.7,51,,,,,,,,,,,,,,,,,,,,,
Angola,,,3.54,,,,,,,,,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,8.56,9.04,10.1,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4,,,,,,,,,80.1,79.8,,86.8,,74.4,75.8,,72.9,
Argentina,,,,,42.8,44.5,,,,,,,,,,,,,,,,,,,,,,,77.2,79.3,81.4,81.9,81.7,81.8,82.5,82.6,83.2,83.6,85.1,86.9,87.8,89.3,90.8,91.2,90.9,90.9,91.7,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,85.3,91.7,92.3,88.1,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,87.9,88,87.9,89.3,,,,,,,,,,,,,,,,,,,94.2,93.7,93.1,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,88.1,,87.8,87.9,87.8,88.7,89.2,87.9,87.9,87.7,86.9,86.7,86.2,86.3,86.5,86.9,87.5,88.1,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,90.4,90.5,,,,,,70.4,,,,,80.1,83.2,85.5,89.3,87.8,85.9,85.7,,,,,,85.6,,
Bahrain,,,,,,,,44.6,46.2,49.2,,,56,66.6,66.7,71.9,76,73.7,,76.3,,,,,93.4,94.2,,89.4,88.2,87.7,90.5,92.2,91.2,91.3,92,93,93.1,,88.6,87.7,87.1,87.1,85.5,87,89.2,91.4,93.9,93.8,
Bangladesh,,,,,,,,6.33,,,,6.02,,,,,,,,,,,,,,,,,39.1,43.2,45.4,47.8,49.4,49.3,44.4,43.9,44.4,45.2,,46.8,48.9,49.3,51.5,54.7,,61,66.6,66.5,
Barbados,,,,,,,,,84.1,,,84.7,86.2,84.1,85.2,88.9,,,,84,73.7,,,,,,,,,94.9,91.3,85.1,87.2,89.2,95.2,92,91.8,93.8,88.9,84.9,85.2,91.6,,,100,,,99.3,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,94.9,95.9,97.3,97.7,98.6,,96.4,
Belgium,,,,,,,,80,,,,,,,,,,,,,,,,96.3,98.5,99.5,98.5,,,94.7,94.3,95.3,95.6,96.9,98.1,98.2,98.4,96.8,95.1,94,93.2,93,93.5,94.1,94.2,94.1,94.3,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,60.2,61.9,,69.3,,66.4,67,66.5,66.1,66.3,66.3,67.6,68.8,71.1,71.3,71.1,73.7,72.7,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,12.3,,,,,,,,,,,,35.6,,39.8,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,19.1,21.3,23.5,,,,33.9,37.1,,44.2,47.5,52.5,54.9,58.5,61.6,64.9,66.9,68.3,70.9,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,62,66.7,69.5,72,73.1,73,72.9,72.4,73.4,73.4,73.2,74.6,76.2,77,77.8,78.1,77.7,
Botswana,,5.46,6.11,8.14,9.6,11.5,13.1,14.4,14.4,14.8,16.4,17.3,,,20.7,23.6,24.9,,,29.9,33.7,42.2,41.6,44.6,43,43.9,,,61.5,57.1,59.6,,59.4,61.4,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.5,,82.7,,81.4,79.5,84.3,84.9,83.6,84.3,,
Brunei,,,,,,,,51.4,51,52.2,54.1,54,54.9,57,54.3,,,,,,,71.7,68.1,67.5,69.6,,,,,,,,,,,88,89.9,88.6,88.4,89.9,90.7,90.9,93.3,91.9,87.4,85.7,84.3,84.5,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9,84.8,85.6,86.5,86.8,84,84.8,84.9,84.2,84.3,83.2,82.4,82.9,84.9,86,88.8,89.8,90,89.1,,
Burkina Faso,,,,,,,,,,,,,,1.67,,,2.4,,,3.63,,,4.65,4.78,4.91,,,,,6.44,,6.33,,7.68,8.56,9.42,10.2,10.8,12.5,13.4,14.4,16.4,17.9,20.2,,25.9,28,29.3,
Burundi,,,,,,,1.31,1.39,,,1.48,,1.93,1.57,1.65,1.91,2.09,2.4,,,,,,4.1,,,,,,,,,,,,,,,,11.9,13.7,15.4,17.4,21,26.2,30.1,34.1,31.7,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,10.4,11.2,12.4,16.7,20.7,23.4,,29.9,33.7,36.7,,,,,,,,,,
Cameroon,,4.17,4.87,5.48,6.1,6.76,7.6,8.54,9.44,10.1,10.5,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,39.4,42.1,43.3,44.3,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,88.8,,,,,,,,,,,,,,,,,,92.1,91.7,91.1,92.9,100,,
Cape Verde,,,,,,,,,,,,,,,,,,9.06,,,,,,,24.4,,,,,,,,58.7,60.5,60.4,64.5,65.7,68.1,,70.8,,,70,69.3,68.4,67.9,68,67.9,
Central African Republic,,1.51,1.63,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,9.92,9.42,,,,,9.85,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.22,3.49,4.26,5.08,5.26,,,,,,,,,,,,12.1,12.4,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5,90.7,88.5,89.2,88.8,87.2,89.1,89,88.8,88.7,88.2,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4,72.7,76.1,77.3,80.5,81.8,84,82.4,82.8,81.6,81.3,81.6,81.6,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,46.6,,,44.8,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,12,12.6,12.3,,,,,,,,,,,,,,,,,,,,,,,,
