country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,14.3,,,,,,,,,,,,,,,,,,,21.8,,,,,,,,,,,,,,39.2,,,,,,60.3,59.6,59.4,57.9,62.1,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,70.2,,,,,,,,,,,,83.9,85.9,86.8,86.8,87.9,
Algeria,,13,,,,,,,,,,,,,45,,,,,,,,,,,55.5,55.7,54.2,,,,,,,,,,,,,,,,,,,,,
Angola,,,4.42,,,,,,,,,,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,9.95,10.4,12.8,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,,,,82.5,80.3,,81.1,,71.5,73,,75.8,
Argentina,,,,,37.7,39,,,,,,,,,,,,,,,,,,,,,,,72,74,76.6,77.1,77.1,76.6,76.3,75.5,75.1,74.9,75.7,78,80.3,81.3,83.9,85.2,85.7,86.2,87.4,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,86.9,92.9,92.7,87.5,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,85.9,85.8,86.2,88.1,,,,,,,,,,,,,,,,,,,93.4,92.9,92.3,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,88.7,,89,89,89.3,89.6,89.4,88.5,88.5,88.3,86.8,86.6,86,85.9,86.2,86.3,87.2,88.3,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,87.9,88.3,,,,,,71.2,,,,,79.1,82.6,84.3,85.3,84.5,82.2,79.7,,,,,,78.7,,
Bahrain,,,,,,,,44.4,48.4,52.4,,,61.4,73.2,67.5,73.3,77.6,74,,75.3,,,,,87.7,89.7,,81.6,82.7,81.9,85.8,85.8,81.3,80.8,82.1,83.1,83.7,,81.2,82.7,85.2,88,82.7,83.8,87.4,90.8,92.3,92.1,
Bangladesh,,,,,,,,21.8,,,,24.9,,,,,,,,,,,,,,,,,41.8,43.8,44.2,44.3,45,44.7,43.1,41.1,41.9,42.8,,43.1,43.6,42.5,44.8,50.4,,53.4,59.5,56.8,
Barbados,,,,,,,,,77,,,84.5,79.7,81.7,82.7,86.7,,,,79.6,84,,,,,,,,,94.9,92.5,87.9,88.1,89.8,91,92.4,91.7,90.5,87.5,83.9,85.2,86.1,,,98.9,,,93.2,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,94.4,95.5,96.1,97,97.3,,95.3,
Belgium,,,,,,,,76.2,,,,,,,,,,,,,,,,95.6,97.5,98.6,96.9,,,92.5,92.2,93,93.7,95.8,97.3,96.9,97.6,95.9,94.1,93,92.2,92.1,92.8,93.2,93.5,93.2,93.9,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,57,58.4,,66.8,,63.8,62.6,62,60.8,61.2,61.1,63.2,66.2,67.3,67.3,68,70.7,68.2,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,25.3,,,,,,,,,,,,51.1,,53.2,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,20.8,22.9,24.3,,,,33.2,35.8,,43.4,43.9,47.7,47.9,50.7,53.5,57,59,58.8,60.7,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7,65.9,70.6,73.5,75.8,76.2,75.5,74.1,72.8,73.2,73,72.4,73.5,75.2,76.1,77.4,77.9,77.5,
Botswana,,5.9,6.64,7.28,7.8,8.73,9.52,10.1,10,9.8,11.7,13.1,,,17,19.7,21.2,,,25.9,28.3,34.5,35.1,38.2,37.9,36.2,,,54,49,52.4,,51.7,53.5,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,,75,,74.7,73.5,79.9,79.2,79.8,80.5,,
Brunei,,,,,,,,47.8,47.6,48.4,49.3,48.1,49.9,51.5,48.5,,,,,,,64.3,60.2,62.8,63.5,,,,,,,,,,,88.5,88.9,86.9,86.8,88.5,89.7,91,92.7,89.9,86.4,83.5,82.2,82.4,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,85.7,87.2,88,88.5,85.8,86.7,86.8,86,85.6,85.1,84.4,84.9,86.5,87.4,91.1,92.2,92.6,91.5,,
Burkina Faso,,,,,,,,,,,,,,3.25,,,4.6,,,6.88,,,8.65,8.89,8.77,,,,,10.8,,9.59,,11.2,12.5,13.3,14.2,15,17,18.1,18.5,20.5,21.5,23.1,,27.1,28.2,29,
Burundi,,,,,,,2.87,2.85,,,2.9,,3.21,3.26,3.36,3.54,3.83,4.14,,,,,,6.28,,,,,,,,,,,,,,,,15.2,17.6,19.3,20.3,22.6,26.6,28.7,31.4,26.1,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,19.3,20,21.2,27.7,32.1,31.4,,34.5,38.1,39.9,,,,,,,,,,
Cameroon,,9.65,10.6,11.6,12.2,13.7,14.8,15.7,17,17.7,18.3,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,44.9,48.3,49.2,50.3,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,92.5,,,,,,,,,,,,,,,,,,92.5,91.9,91.6,92.8,99.3,,
Cape Verde,,,,,,,,,,,,,,,,,,9.9,,,,,,,23.3,,,,,,,,54.5,53.8,53.1,56.2,56.6,58.5,,60.6,,,61.6,61.4,60.6,61.3,61.2,60.9,
Central African Republic,,6.47,7.89,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,17.9,18.1,,,,,16.3,
